student_id,gender,age,study_hours,attendance,performance_score,household_income_bracket,dependents,background,government_assistance,scholarship_eligibility
1053,Female,20,21,90,68.36707862,Mid-High,4,Urban,0,Eligible
1054,Female,19,27,90,83.44690282,High,1,Urban,0,Not Eligible
1055,Female,27,14,90,59.06915593,Mid-High,2,Urban,0,Not Eligible
1056,Female,18,27,90,72.85043971,High,1,Urban,0,Not Eligible
1057,Female,39,12,83.33333333,0,,3,Rural,0,Not Eligible
1058,Female,27,21,90,70.82829345,High,3,Urban,0,Not Eligible
1059,Female,18,27,90,81.68498554,High,1,Rural,0,Not Eligible
1060,Female,18,12,83.33333333,0,High,3,Rural,0,Not Eligible
1061,Female,18,21,90,69.33724002,High,0,Urban,0,Not Eligible
1062,Female,21,21,90,65.63239548,Mid-Low,2,Rural,1,Eligible
1063,Male,19,12,83.33333333,0,Mid-High,1,Urban,0,Eligible
1064,Male,19,14,90,58.5222193,,0,Urban,0,Not Eligible
1065,Male,24,12,83.33333333,0,,0,Urban,0,Not Eligible
1066,Male,29,14,90,62.62424402,High,1,Urban,0,Not Eligible
1067,Male,23,21,90,68.36707862,High,2,Rural,0,Not Eligible
1068,Male,19,14,90,60.02629503,High,2,Urban,0,Not Eligible
1069,Male,26,14,90,62.3507757,,3,Urban,0,Not Eligible
1070,Male,18,12,83.33333333,0,Mid-High,0,Urban,0,Not Eligible
1071,Male,24,21,90,70.3497239,,3,Urban,0,Not Eligible
1072,Male,18,14,90,64.72083443,Mid-High,3,Rural,1,Not Eligible
1073,Male,18,21,90,67.45551757,High,1,Urban,0,Not Eligible
1074,Male,18,14,90,57.94923807,,2,Urban,0,Not Eligible
1075,Male,21,14,90,58.79568762,Mid-High,3,Urban,0,Eligible
1076,Male,19,27,90,73.83644491,Mid-High,1,Urban,0,Eligible
1077,Male,22,27,90,81.76268527,Mid-High,4,Urban,0,Eligible
1078,Male,33,14,90,64.72083443,Mid-High,4,Urban,1,Not Eligible
1079,Male,20,21,90,66.72626874,Mid-High,4,Urban,0,Not Eligible
1080,Male,35,12,83.33333333,0,Mid-High,0,Rural,0,Not Eligible
1081,Male,24,21,90,69.64326409,Mid-High,4,Urban,0,Not Eligible
1082,Male,18,14,90,63.80927338,,0,Rural,0,Not Eligible
1083,Female,33,14,90,60.16302919,,2,Rural,0,Not Eligible
1084,Female,22,21,90,71.53931107,Mid-Low,2,Rural,1,Eligible
1085,Female,25,14,90,60.4364975,Mid-Low,3,Urban,1,Eligible
1086,Male,20,14,90,59.79840477,Mid-High,3,Rural,0,Not Eligible
1087,Male,23,27,90,76.02419143,Mid-High,1,Rural,0,Not Eligible
1088,Male,18,12,83.33333333,27.34683145,Mid-High,1,Rural,0,Not Eligible
1089,Female,21,27,90,75.20378648,,1,Urban,0,Not Eligible
1090,Female,26,12,83.33333333,32.81619774,,3,Urban,0,Not Eligible
1091,Female,39,12,83.33333333,34.63931984,Mid-High,1,Rural,0,Not Eligible
1092,Female,44,21,90,66.20212113,Mid-High,2,Urban,0,Not Eligible
1093,Male,19,27,90,74.5201157,Mid-High,4,Urban,0,Not Eligible
1094,Female,18,27,90,73.83644491,High,2,Urban,0,Not Eligible
1095,Female,18,27,90,77.19402811,Mid-High,4,Rural,0,Eligible
1096,Female,19,27,90,76.57112806,High,0,Urban,0,Not Eligible
1097,Female,19,12,83.33333333,32.70681041,High,1,Rural,0,Not Eligible
1098,Female,21,27,90,71.85379963,Mid-High,1,Urban,1,Not Eligible
1099,Female,20,12,83.33333333,0,,3,Urban,0,Not Eligible
1100,Female,36,12,83.33333333,0,High,0,Urban,0,Not Eligible
1101,Female,43,27,90,78.92937708,,2,Urban,0,Not Eligible
1102,Female,20,21,90,69.1129013,High,3,Urban,0,Not Eligible
1103,Female,20,27,90,75.06705233,,3,Urban,0,Not Eligible
1104,Female,20,21,90,69.9167324,Mid-High,2,Urban,0,Not Eligible
1105,Female,20,21,90,67.45551757,Mid-High,2,Urban,1,Not Eligible
1106,Female,18,27,90,78.91514218,,0,Rural,0,Not Eligible
1107,Female,18,21,90,65.63239548,Mid-Low,1,Urban,1,Eligible
1108,Female,19,21,90,71.6486984,Mid-High,1,Urban,1,Not Eligible
1109,Female,18,21,90,69.01819366,High,0,Urban,0,Not Eligible
1110,Female,18,21,90,68.45823473,,0,Urban,0,Not Eligible
1111,Female,20,21,90,67.31878342,High,3,Rural,0,Not Eligible
1112,Female,20,14,90,56.74467526,Mid-Low,2,Urban,1,Eligible
1113,Female,20,14,90,57.42834604,High,0,Urban,0,Not Eligible
1114,Female,18,21,90,67.11693776,Mid-High,3,Urban,1,Not Eligible
1115,Female,18,27,90,72.74257165,High,3,Rural,0,Not Eligible
1116,Female,21,14,90,60.16302919,High,1,Urban,0,Not Eligible
1117,Female,19,14,90,60.29976334,Mid-High,1,Urban,0,Not Eligible
1118,Female,19,27,90,73.83644491,Mid-Low,2,Rural,1,Eligible
1119,Female,19,27,90,72.10447892,Mid-High,2,Urban,0,Not Eligible
1120,Female,19,12,83.33333333,33.08966605,High,2,Urban,0,Not Eligible
1121,Female,20,27,90,76.41920122,Mid-High,0,Urban,0,Not Eligible
1122,Female,18,21,90,71.6486984,Mid-High,0,Urban,1,Eligible
1123,Female,18,27,90,72.92488386,,1,Rural,0,Not Eligible
1124,Female,19,27,90,77.87900112,Mid-High,0,Rural,0,Not Eligible
1125,Female,18,27,90,73.78272792,Mid-Low,5,Urban,1,Eligible
1126,Female,18,21,90,69.27863967,,3,Rural,0,Not Eligible
1127,Female,19,27,90,73.83644491,Mid-High,0,Urban,0,Not Eligible
1128,Female,19,12,83.33333333,38.28556403,,0,Rural,0,Not Eligible
1129,Female,20,14,90,63.93949639,Mid-High,2,Urban,0,Not Eligible
1130,Female,19,21,90,66.99973705,Mid-Low,5,Urban,1,Eligible
1131,Female,20,14,90,64.81199053,,0,Urban,0,Not Eligible
1132,Female,18,27,90,81.1289333,Mid-Low,4,Urban,0,Eligible
1133,Female,20,21,90,71.32288043,Mid-Low,1,Rural,1,Eligible
1134,Female,18,27,90,94.92768867,Mid-High,1,Urban,0,Not Eligible
1135,Female,19,21,90,69.27863967,High,0,Urban,0,Not Eligible
1136,Female,19,21,90,67.45551757,Mid-Low,1,Urban,1,Eligible
1137,Female,22,12,83.33333333,0,High,2,Urban,0,Not Eligible
1138,Female,19,14,90,62.44193181,Mid-High,4,Urban,0,Eligible
1139,Female,19,21,90,70.92742572,Mid-Low,1,Urban,1,Eligible
1140,Female,19,14,90,62.3507757,Mid-High,3,Urban,0,Eligible
1141,Female,20,14,90,62.53308791,,3,Urban,0,Not Eligible
1142,Female,18,27,90,75.31773162,,3,Rural,0,Not Eligible
1143,Female,20,27,90,76.6857243,Mid-Low,4,Rural,1,Eligible
1144,Female,19,21,90,70.55482514,Mid-High,4,Urban,0,Not Eligible
1145,Female,18,14,90,63.35349286,Mid-High,2,Urban,0,Not Eligible
1146,Female,18,21,90,68.73170304,Mid-High,2,Urban,0,Not Eligible
1147,Female,21,14,90,61.98615128,High,1,Urban,0,Not Eligible
1148,Female,19,14,90,64.2650539,High,1,Rural,0,Not Eligible
1149,Female,18,14,90,61.25690245,Mid-Low,3,Urban,0,Eligible
1150,Female,18,21,90,65.92539724,Mid-Low,5,Urban,1,Eligible
1151,Female,20,14,90,62.44193181,Mid-High,2,Urban,0,Not Eligible
1152,Female,24,14,90,64.53852222,Mid-Low,2,Rural,1,Eligible
1153,Female,19,21,90,71.55754229,,0,Rural,0,Not Eligible
1154,Female,18,21,90,70.05346656,Mid-Low,3,Rural,1,Eligible
1155,Female,18,27,90,82.78911386,,0,Urban,0,Not Eligible
1156,Female,21,14,90,61.53037076,High,0,Urban,0,Not Eligible
1157,Female,19,27,90,77.66500131,High,1,Rural,0,Not Eligible
1158,Female,19,21,90,69.73442019,Mid-High,1,Urban,0,Eligible
1159,Female,47,12,83.33333333,0,High,2,Urban,0,Not Eligible
1160,Female,19,14,90,61.98615128,Mid-High,3,Urban,1,Not Eligible
1161,Female,29,27,90,77.97753653,,3,Urban,0,Not Eligible
1162,Female,21,14,90,63.80927338,Mid-High,3,Urban,0,Not Eligible
1163,Female,28,14,90,59.4793584,High,2,Rural,0,Not Eligible
1164,Female,20,21,90,71.15547876,Mid-High,0,Urban,0,Not Eligible
1165,Female,19,14,90,63.90042949,Mid-High,4,Rural,0,Not Eligible
1166,Female,26,14,90,64.72083443,Mid-High,3,Rural,0,Not Eligible
1167,Female,20,21,90,68.13918836,High,0,Rural,0,Not Eligible
1168,Female,18,21,90,68.82285915,Mid-Low,2,Urban,1,Eligible
1169,Female,27,21,90,68.91401525,High,3,Urban,0,Not Eligible
1170,Female,20,21,90,65.35892716,Mid-High,0,Rural,0,Not Eligible
1171,Female,18,14,90,62.3507757,Mid-High,1,Urban,1,Not Eligible
1172,Female,33,27,90,79.12349899,,0,Urban,0,Not Eligible
1173,Female,35,21,90,69.48425494,Mid-High,3,Urban,0,Not Eligible
1174,Female,26,21,90,70.64598124,Mid-Low,2,Urban,1,Eligible
1175,Female,27,12,83.33333333,32.81619774,Mid-High,2,Urban,0,Not Eligible
1176,Female,19,12,83.33333333,33.27197826,,0,Rural,0,Not Eligible
1177,Female,20,14,90,56.25633898,High,0,Rural,0,Not Eligible
1178,Female,21,14,90,58.79568762,Mid-High,3,Urban,0,Not Eligible
1179,Female,18,21,90,71.37523008,Mid-High,1,Rural,0,Eligible
1180,Female,24,12,83.33333333,30.08151459,,0,Urban,0,Not Eligible
1181,Female,20,14,90,64.2650539,High,3,Urban,0,Not Eligible
1182,Female,21,21,90,66.99973705,Mid-Low,2,Rural,1,Eligible
1183,Female,23,14,90,54.6936629,High,1,Urban,0,Not Eligible
1184,Female,24,12,83.33333333,0,High,2,Rural,0,Not Eligible
1185,Female,21,12,83.33333333,0,High,0,Urban,0,Not Eligible
1186,Female,18,21,90,66.96067015,High,2,Rural,0,Not Eligible
1187,Female,27,12,83.33333333,0,High,2,Urban,0,Not Eligible
1188,Female,18,21,90,70.73941625,Mid-High,2,Urban,0,Not Eligible
1189,Female,35,12,83.33333333,0,,3,Urban,0,Not Eligible
1190,Female,35,14,90,63.3079148,High,2,Urban,0,Not Eligible
1191,Female,19,27,90,76.79901832,,1,Urban,0,Not Eligible
1192,Female,20,14,90,61.53037076,,0,Rural,0,Not Eligible
1193,Female,18,21,90,67.40603283,,0,Urban,0,Not Eligible
1194,Female,21,21,90,65.30683796,,0,Rural,0,Not Eligible
1195,Female,18,14,90,61.23736899,Mid-Low,2,Urban,1,Eligible
1196,Female,18,14,90,59.4793584,,2,Urban,0,Not Eligible
1197,Female,18,21,90,70.63295894,Mid-High,0,Rural,1,Not Eligible
1198,Female,18,27,90,76.57112806,Mid-High,2,Rural,0,Eligible
1199,Female,19,27,90,74.53964915,,1,Urban,0,Not Eligible
1200,Female,36,27,90,72.50817024,Mid-High,1,Rural,1,Eligible
1201,Female,18,21,90,69.14841666,Mid-Low,4,Urban,1,Eligible
1202,Female,18,21,90,70.64598124,Mid-Low,4,Urban,1,Eligible
1203,Female,20,27,90,86.09368544,Mid-Low,4,Urban,0,Eligible
1204,Female,26,12,83.33333333,0,Mid-High,2,Rural,0,Eligible
1205,Female,21,14,90,64.85105744,Mid-High,4,Rural,0,Not Eligible
1206,Female,25,21,90,69.5635025,Mid-High,0,Urban,0,Not Eligible
1207,Female,19,14,90,63.44464896,Mid-Low,3,Rural,1,Eligible
1208,Female,24,12,83.33333333,27.34683145,Mid-High,1,Rural,0,Not Eligible
1209,Female,27,12,83.33333333,27.34683145,Mid-Low,2,Urban,1,Eligible
1210,Female,21,12,83.33333333,36.91822246,High,3,Rural,0,Not Eligible
1211,Female,18,21,90,69.27863967,Mid-Low,1,Urban,0,Eligible
1212,Female,19,27,90,76.11534753,Mid-Low,4,Urban,1,Eligible
1213,Female,18,21,90,64.94872469,Mid-High,1,Rural,0,Not Eligible
1214,Female,19,21,90,71.21896247,Mid-Low,2,Urban,1,Eligible
1215,Female,19,27,90,78.36006661,Mid-High,4,Urban,0,Eligible
1216,Female,33,27,90,85.13980191,High,2,Urban,0,Not Eligible
1217,Female,45,21,90,67.82014199,Mid-High,4,Rural,0,Not Eligible
1218,Female,20,21,90,67.9764096,Mid-High,4,Urban,0,Eligible
1219,Female,28,12,83.33333333,0,Mid-High,3,Urban,1,Not Eligible
1220,Female,19,14,90,63.28838135,Mid-High,0,Urban,1,Eligible
1221,Female,18,21,90,69.7995317,Mid-High,4,Urban,0,Not Eligible
1222,Female,38,12,83.33333333,0,,2,Rural,0,Not Eligible
1223,Female,19,21,90,71.6486984,,0,Urban,0,Not Eligible
1224,Female,21,14,90,62.89771233,Mid-Low,4,Urban,1,Eligible
1225,Female,21,27,90,73.83644491,Mid-High,0,Urban,0,Not Eligible
1226,Female,22,21,90,70.00788851,Mid-Low,5,Urban,1,Eligible
1227,Female,18,27,90,72.65141555,Mid-High,0,Rural,0,Eligible
1228,Female,18,14,90,62.63726632,Mid-Low,3,Urban,0,Eligible
1229,Female,25,27,90,75.88745727,Mid-High,1,Rural,0,Not Eligible
1230,Female,24,14,90,60.39091945,Mid-High,0,Urban,0,Not Eligible
1231,Female,19,21,90,65.45171106,Mid-High,4,Urban,0,Not Eligible
1232,Female,24,27,90,72.37242262,High,2,Rural,0,Not Eligible
1233,Female,20,21,90,68.91401525,Mid-Low,4,Urban,1,Eligible
1234,Female,25,12,83.33333333,0,,1,Urban,0,Not Eligible
1235,Female,20,21,90,69.08804054,Mid-Low,4,Rural,1,Eligible
1236,Female,23,27,90,72.30502235,,3,Rural,0,Not Eligible
1237,Female,19,27,90,71.92998009,Mid-Low,4,Urban,1,Eligible
1238,Female,29,21,90,65.86028574,,1,Urban,0,Not Eligible
1239,Female,21,14,90,64.49294417,,0,Urban,0,Not Eligible
1240,Female,18,27,90,74.91078472,Mid-Low,4,Rural,1,Eligible
1241,Female,19,21,90,67.82014199,Mid-High,1,Urban,1,Not Eligible
1242,Female,18,27,90,76.11534753,Mid-High,2,Rural,0,Eligible
1243,Female,19,27,90,74.93031817,High,0,Urban,0,Not Eligible
1244,Female,18,12,83.33333333,30.08151459,High,0,Urban,0,Not Eligible
1245,Female,18,14,90,63.44464896,,3,Urban,0,Not Eligible
1246,Female,37,12,83.33333333,43.75493032,Mid-High,3,Urban,1,Eligible
1247,Female,29,21,90,70.84131575,Mid-High,0,Urban,0,Not Eligible
1248,Female,18,21,90,66.54395653,High,3,Urban,0,Not Eligible
1249,Female,19,21,90,66.54395653,Mid-High,3,Rural,0,Eligible
1250,Female,22,21,90,67.9112981,Mid-High,3,Urban,0,Not Eligible
1251,Female,20,14,90,59.52493645,Mid-Low,4,Urban,1,Eligible
1252,Female,34,12,83.33333333,0,High,3,Rural,0,Not Eligible
1253,Female,30,21,90,65.40450522,Mid-High,3,Rural,0,Not Eligible
1254,Female,18,27,90,76.57112806,Mid-High,4,Urban,0,Not Eligible
1255,Female,18,21,90,67.9112981,High,0,Rural,0,Not Eligible
1256,Female,18,21,90,65.40450522,,1,Urban,0,Not Eligible
1257,Female,18,27,90,81.1028887,,1,Urban,0,Not Eligible
1258,Female,19,21,90,66.17933211,Mid-Low,5,Rural,1,Eligible
1259,Female,18,27,90,74.77405056,Mid-Low,1,Rural,0,Eligible
1260,Female,21,21,90,69.64326409,Mid-Low,3,Rural,1,Eligible
1261,Female,20,14,90,62.89771233,High,0,Rural,0,Not Eligible
1262,Female,20,21,90,70.64598124,Mid-High,4,Urban,0,Not Eligible
1263,Female,19,21,90,71.70339206,Mid-High,0,Urban,1,Not Eligible
1264,Female,20,27,90,81.84515984,,2,Urban,0,Not Eligible
1265,Female,18,27,90,79.50602907,,3,Urban,0,Not Eligible
1266,Female,20,14,90,59.25146814,Mid-High,3,Urban,0,Not Eligible
1267,Female,29,21,90,67.69860052,High,1,Urban,0,Not Eligible
1268,Female,18,27,90,75.40107434,Mid-High,4,Rural,0,Eligible
1269,Female,20,27,90,76.0696067,Mid-Low,5,Rural,1,Eligible
1270,Female,22,14,90,63.99158559,Mid-Low,3,Urban,1,Eligible
1271,Female,47,27,90,77.48268911,Mid-High,3,Urban,0,Eligible
1272,Female,31,27,90,76.02419143,High,3,Rural,0,Not Eligible
1273,Female,21,27,90,72.83372776,Mid-High,1,Urban,1,Eligible
1274,Female,21,21,90,67.42947297,Mid-High,3,Rural,0,Not Eligible
1275,Female,24,21,90,71.10176177,,3,Urban,0,Not Eligible
1276,Female,32,14,90,64.2650539,Mid-High,2,Urban,0,Not Eligible
1277,Female,19,14,90,61.07459024,Mid-High,3,Rural,0,Eligible
1278,Female,24,27,90,73.20746779,Mid-High,2,Rural,0,Not Eligible
1279,Female,19,27,90,82.49627487,,0,Urban,0,Not Eligible
1280,Female,19,27,90,77.02690858,Mid-High,4,Urban,0,Eligible
1281,Female,24,21,90,66.80440254,Mid-High,4,Rural,1,Not Eligible
1282,Female,18,14,90,63.80927338,Mid-Low,1,Urban,1,Eligible
1283,Female,19,14,90,63.80927338,Mid-Low,5,Rural,0,Eligible
1284,Female,19,27,90,80.54032531,Mid-Low,3,Urban,0,Eligible
1285,Female,18,27,90,76.11534753,Mid-Low,2,Urban,0,Eligible
1286,Female,18,21,90,65.37194946,,2,Urban,0,Not Eligible
1287,Female,20,21,90,70.11043913,High,3,Urban,0,Not Eligible
1288,Female,18,21,90,70.33605049,,0,Urban,0,Not Eligible
1289,Female,18,21,90,71.00409451,,0,Urban,0,Not Eligible
1290,Female,21,21,90,66.17933211,Mid-Low,1,Urban,1,Eligible
1291,Female,18,27,90,85.55608146,Mid-Low,3,Urban,1,Eligible
1292,Female,18,14,90,62.21404155,,1,Urban,0,Not Eligible
1293,Female,19,14,90,60.16302919,Mid-High,4,Urban,0,Not Eligible
1294,Female,18,27,90,72.40073626,High,0,Rural,0,Not Eligible
1295,Female,34,12,83.33333333,30.08151459,Mid-High,0,Urban,1,Not Eligible
1296,Female,19,14,90,61.80383907,,3,Urban,0,Not Eligible
1297,Female,26,27,90,81.97538284,,2,Urban,0,Not Eligible
1298,Female,21,14,90,61.98615128,Mid-High,0,Rural,1,Not Eligible
1299,Female,18,14,90,62.89771233,Mid-Low,1,Urban,1,Eligible
1300,Female,20,27,90,74.01875712,Mid-Low,2,Urban,1,Eligible
1301,Female,25,12,83.33333333,28.71417302,,2,Urban,0,Not Eligible
1302,Female,18,27,90,89.15067052,Mid-High,1,Rural,1,Not Eligible
1303,Female,18,27,90,80.46716365,Mid-Low,3,Rural,1,Eligible
1304,Female,19,27,90,76.70742814,Mid-High,4,Urban,1,Not Eligible
1305,Female,18,14,90,63.28838135,Mid-High,3,Urban,1,Eligible
1306,Female,20,21,90,67.93083155,High,1,Urban,0,Not Eligible
1307,Female,26,12,83.33333333,0,High,3,Urban,0,Not Eligible
1308,Female,19,21,90,71.42211036,Mid-Low,3,Rural,1,Eligible
1309,Female,19,27,90,77.54345984,Mid-High,3,Urban,0,Not Eligible
1310,Female,19,21,90,65.08545885,Mid-High,0,Urban,0,Not Eligible
1311,Female,19,14,90,63.80927338,High,0,Urban,0,Not Eligible
1312,Female,18,14,90,60.81414422,High,3,Urban,0,Not Eligible
1313,Female,19,27,90,72.92488386,,1,Urban,0,Not Eligible
1314,Female,18,14,90,62.50704331,High,1,Rural,0,Not Eligible
1315,Female,18,21,90,65.63239548,Mid-High,4,Urban,0,Not Eligible
1316,Female,18,21,90,70.00788851,,3,Urban,0,Not Eligible
1317,Female,18,21,90,67.45551757,High,1,Urban,0,Not Eligible
1318,Female,20,21,90,68.36707862,Mid-High,2,Urban,1,Not Eligible
1319,Female,19,21,90,66.54395653,High,0,Urban,0,Not Eligible
1320,Female,40,27,90,80.86848728,High,2,Urban,0,Not Eligible
1321,Female,18,27,90,73.24165133,Mid-Low,4,Urban,0,Eligible
1322,Female,19,21,90,67.26018306,High,0,Rural,0,Not Eligible
1323,Female,19,21,90,65.63239548,High,0,Urban,0,Not Eligible
1324,Female,33,21,90,70.25531222,Mid-High,2,Urban,0,Not Eligible
1325,Female,35,27,90,74.10991323,Mid-High,1,Urban,0,Not Eligible
1326,Female,26,21,90,68.36707862,,2,Urban,0,Not Eligible
1327,Female,18,21,90,71.10176177,,3,Urban,0,Not Eligible
1328,Female,36,14,90,62.89771233,Mid-High,1,Urban,0,Not Eligible
1329,Female,39,14,90,61.98615128,Mid-High,2,Urban,0,Not Eligible
1330,Female,44,27,90,73.38066439,Mid-High,1,Rural,1,Not Eligible
1331,Female,20,14,90,63.58138312,High,1,Urban,0,Not Eligible
1332,Female,24,21,90,65.90586379,High,1,Urban,0,Not Eligible
1333,Female,20,27,90,73.83644491,Mid-Low,2,Rural,1,Eligible
1334,Female,18,27,90,77.66500131,Mid-Low,2,Urban,1,Eligible
1335,Female,22,12,83.33333333,30.08151459,,0,Urban,0,Not Eligible
1336,Female,18,27,90,85.94718455,Mid-High,1,Urban,1,Not Eligible
1337,Female,24,21,90,71.17989557,Mid-High,1,Rural,0,Not Eligible
1338,Female,33,12,83.33333333,0,High,0,Urban,0,Not Eligible
1339,Female,30,12,83.33333333,0,Mid-Low,1,Urban,1,Eligible
1340,Female,18,14,90,64.2650539,High,1,Rural,0,Not Eligible
1341,Female,20,14,90,58.33990709,High,1,Urban,0,Not Eligible
1342,Female,22,27,90,74.42244844,Mid-Low,4,Rural,0,Eligible
1343,Female,19,27,90,76.46174073,High,1,Rural,0,Not Eligible
1344,Female,21,27,90,87.24691033,Mid-Low,1,Urban,1,Eligible
1345,Female,21,27,90,76.75344027,Mid-Low,5,Rural,1,Eligible
1346,Female,19,14,90,60.70996582,,2,Rural,0,Not Eligible
1347,Female,19,27,90,75.26889799,Mid-Low,5,Rural,1,Eligible
1348,Female,18,27,90,73.36764209,Mid-High,4,Urban,0,Not Eligible
1349,Female,50,27,90,74.1560832,High,0,Rural,0,Not Eligible
1350,Female,31,14,90,60.39091945,Mid-Low,1,Urban,0,Eligible
1351,Female,19,27,90,77.28735459,Mid-Low,4,Rural,0,Eligible
1352,Female,35,21,90,67.9764096,,1,Urban,0,Not Eligible
1353,Female,31,12,83.33333333,0,High,3,Urban,0,Not Eligible
1354,Female,42,21,90,67.54667368,,0,Urban,0,Not Eligible
1355,Female,18,27,90,83.19785132,Mid-Low,1,Urban,0,Eligible
1356,Female,18,21,90,70.05997771,Mid-Low,1,Urban,1,Eligible
1357,Female,21,21,90,71.55754229,Mid-High,2,Urban,0,Not Eligible
1358,Female,26,21,90,64.86277751,Mid-Low,5,Urban,1,Eligible
1359,Female,20,27,90,73.83644491,High,3,Urban,0,Not Eligible
1360,Female,19,14,90,56.51678499,High,3,Urban,0,Not Eligible
1361,Female,19,27,90,72.72954935,Mid-Low,4,Urban,1,Eligible
1362,Female,28,14,90,63.64353501,Mid-High,1,Rural,0,Not Eligible
1363,Female,22,21,90,69.9167324,Mid-High,2,Urban,1,Not Eligible
1364,Female,21,27,90,78.85003068,Mid-Low,1,Urban,1,Eligible
1365,Female,21,21,90,64.94872469,High,0,Urban,0,Not Eligible
1366,Female,26,14,90,63.8275046,High,2,Rural,0,Not Eligible
1367,Female,18,21,90,66.72626874,High,1,Urban,0,Not Eligible
1368,Female,19,21,90,70.33605049,Mid-High,3,Urban,0,Eligible
1369,Female,20,21,90,64.8865728,Mid-High,0,Urban,1,Not Eligible
1370,Female,22,21,90,68.75774764,Mid-Low,2,Rural,1,Eligible
1371,Female,18,21,90,69.7734871,Mid-High,3,Urban,0,Not Eligible
1372,Female,19,12,83.33333333,29.16995355,,0,Rural,0,Not Eligible
1373,Female,18,14,90,62.3507757,Mid-Low,3,Urban,1,Eligible
1374,Female,20,14,90,56.51678499,Mid-High,3,Rural,1,Not Eligible
1375,Female,19,14,90,63.58138312,Mid-High,4,Urban,0,Not Eligible
1376,Female,19,21,90,67.68340784,,1,Urban,0,Not Eligible
